outcome,outcome_type,outcome_var,subsample,coef,se,t,p,N,r2
ln(NTL),NTL,ln_ntl,UV,0.0136153527831063,0.00434908813010415,3.13062241458424,0.00174439484674171,1567410,0.374858
ln(NTL),NTL,ln_ntl,Urban non-UV,0.0234718642908704,0.0089433995898003,2.62449016788195,0.00867790687291271,4872160,0.348524
ln(NTL),NTL,ln_ntl,Urban UV,0.0153860477361471,0.00665295898660918,2.31266234574954,0.0207414131262472,998230,0.415842
ln(NTL),NTL,ln_ntl,Non-urban UV,0.00546054395528827,0.00544723669039825,1.00244293862124,0.316130138833628,569180,0.371444
NTL (level),NTL,ntl_dmsp_like,UV,0.405551470939043,0.203856902848777,1.9893928793762,0.0466580284874141,1567410,0.40245
NTL (level),NTL,ntl_dmsp_like,Urban non-UV,1.11648468267509,0.436817303278563,2.55595342559746,0.0105897592491855,4872160,0.362782
NTL (level),NTL,ntl_dmsp_like,Urban UV,0.74476347352877,0.335033312716435,2.22295349525175,0.0262191590493034,998230,0.418488
NTL (level),NTL,ntl_dmsp_like,Non-urban UV,-0.0304855677043878,0.226575395289061,-0.134549330325541,0.892968253298225,569180,0.401905
ln(Population),Population,ln_pop,UV,0.00170007585428866,0.00199471004611565,0.852292220415326,0.394052053033377,1567410,0.226523
ln(Population),Population,ln_pop,Urban non-UV,-0.00105774944826283,0.00303506113683532,-0.348510096032449,0.727457148044759,4872160,0.179485
ln(Population),Population,ln_pop,Urban UV,0.00431532494899097,0.0021253346828643,2.03042136553064,0.0423139912729629,998230,0.211997
ln(Population),Population,ln_pop,Non-urban UV,0.00248907369926124,0.00262872013259701,0.946876644796033,0.343702042207483,569180,0.260431
Population (level),Population,pop,UV,-0.716867619982152,0.791768763136075,-0.905400229661435,0.365253533296986,1567410,0.223023
Population (level),Population,pop,Urban non-UV,-2.4378488625598,1.91536698091809,-1.27278421673076,0.203094684128751,4872160,0.187908
Population (level),Population,pop,Urban UV,-2.28859528586235,1.47037996363395,-1.55646522835243,0.119597821888334,998230,0.219366
Population (level),Population,pop,Non-urban UV,0.500242610322821,0.221476970267053,2.25866648672157,0.0239045154578136,569180,0.190744
List Price,Housing,avg_list_unit_price,UV,-841.282658821844,2531.34934138433,-0.332345538036946,0.739628404073095,1503885,0.008235
List Price,Housing,avg_list_unit_price,Urban non-UV,1128.42953121212,2183.63309136236,0.516767004345082,0.605318840524316,4641510,0.042262
List Price,Housing,avg_list_unit_price,Urban UV,1285.3182648576,2529.54903816619,0.508121505242453,0.611368251471719,958532,0.189148
List Price,Housing,avg_list_unit_price,Non-urban UV,-2089.75445834364,2161.08960782449,-0.9669911190991,0.333548902114492,545353,0.003981
Deal Price,Housing,avg_deal_unit_price,UV,-1629.1514422775,3142.59089673553,-0.518410284956223,0.604172126520849,1330357,0.810171
Deal Price,Housing,avg_deal_unit_price,Urban non-UV,1698.0145956162,2072.45920783298,0.819323530807481,0.41260189782625,4147768,0.874005
Deal Price,Housing,avg_deal_unit_price,Urban UV,1207.03903639199,2441.2653992434,0.494431714292954,0.62100144900285,847901,0.880075
Deal Price,Housing,avg_deal_unit_price,Non-urban UV,-3242.32818910776,3088.53040498937,-1.04979642870601,0.29381224341682,482456,0.788484
Price Gap,Housing,avg_price_gap,UV,553.355267928045,575.850930192594,0.960934920679862,0.336585085845645,1193062,7.315
Price Gap,Housing,avg_price_gap,Urban non-UV,744.826670622927,537.377524467189,1.38603986343014,0.165734814789476,3707959,0.001206
Price Gap,Housing,avg_price_gap,Urban UV,1185.53662146513,928.365215129809,1.27701534066996,0.201597223262174,756571,0.023388
Price Gap,Housing,avg_price_gap,Non-urban UV,85.0125285192382,346.572452010432,0.245295112251678,0.806228051347145,436491,0
Deal Cycle Days,Housing,avg_deal_cycle_days,UV,15.3587374592978,7.45203379716061,2.06101285600045,0.039302029829834,1193010,0.37713
Deal Cycle Days,Housing,avg_deal_cycle_days,Urban non-UV,19.0860484956692,9.58414154019827,1.99141972346898,0.0464348358939806,3707683,0.446439
Deal Cycle Days,Housing,avg_deal_cycle_days,Urban UV,25.1717768255083,11.2546237328561,2.23657204567607,0.0253146138738415,756540,0.432815
Deal Cycle Days,Housing,avg_deal_cycle_days,Non-urban UV,6.00253838780668,3.3536390999796,1.78985818356042,0.0734774057035484,436470,0.36566
