label,output_tables,table_scripts
tab:baseline_main,baseline_diff_uv_vs_urban_nonuv_100m_v1.csv,baseline_diff_uv_vs_urban_nonuv_100m_v1.R;baseline_diff_uv_vs_urban_nonuv_100m_v1.do;baseline_diff_uv_vs_urban_nonuv_100m_v1.py
tab:main_100m,ppml_main_multiscale_3x3_usz_big_v9_countyfe.rtf,did_ppml_main_countyfe_event_mergedcat_v10.do
tab:hetero_core_peri,ppml_100m_uv_totalcrime_spatial_permutation_v1_r.csv,task5_spatial_permutation_parallel.R
tab:hetero_4cat,ppml_uv_100m_cat_four_subsamples_v2.csv,ppml_uv_100m_cat_four_subsamples_v2.R
tab:hetero_16cat,ppml_100m_16cat_four_subsamples_v2.rtf,ppml_uv_100m_cat_four_subsamples_v2.R
tab:hetero_defendant,ppml_100m_uv_totalcrime_spatial_permutation_v1_r.csv,task5_spatial_permutation_parallel.R
tab:crime_categories,ppml_100m_16cat_four_subsamples_v2.rtf,ppml_uv_100m_cat_four_subsamples_v2.R
tab:baseline,baseline_diff_uv_vs_urban_nonuv_100m_v1.csv,baseline_diff_uv_vs_urban_nonuv_100m_v1.R;baseline_diff_uv_vs_urban_nonuv_100m_v1.do;baseline_diff_uv_vs_urban_nonuv_100m_v1.py
tab:robust_se,ppml_100m_uv_totalcrime_robust_se_compare_v1.csv,task2_to_4_only.do;task2_to_5_robustness_checks.do
tab:robust_winsor,ppml_100m_uv_totalcrime_extra_robust_v1.csv,task2_to_4_only.do;task2_to_5_robustness_checks.do
tab:mod_infra_level_speed,ppml_100m_uv_totalcrime_spatial_permutation_v1_r.csv,task5_spatial_permutation_parallel.R
tab:mod_house_pre1517,ppml_100m_housingmod_uvsplits_alluv_v3a.csv,ppml_100m_housingmod_uvsplits_alluv_v3a.R
tab:mod_social,ppml_100m_restentropy_mod_uvsplits_alluv_totalcrime_housentl_v2.csv,ppml_100m_restentropy_mod_uvsplits_totalcrime_only_v1.R;ppml_100m_restentropy_mod_uvsplits_totalcrime_v1.R;ppml_100m_restentropy_mod_uvsplits_totalcrime_v1.do
tab:discuss_housing,ols_did_100m_ntl_pop_housing_four_subsamples_v1.csv,ols_did_100m_ntl_pop_housing_four_subsamples_v1.R
tab:discuss_pop,ols_did_100m_ntl_pop_housing_four_subsamples_v1.csv,ols_did_100m_ntl_pop_housing_four_subsamples_v1.R
tab:discuss_ntl,ols_did_100m_ntl_pop_housing_four_subsamples_v1.csv,ols_did_100m_ntl_pop_housing_four_subsamples_v1.R
